,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,chembl_id.type,chembl_id,structure_cas.type,structure_cas
0,uri,http://www.wikidata.org/entity/Q15512691,uri,http://www.wikidata.org/entity/Q27163468,literal,Mayaca fluviatilis,literal,IKGXIBQEEMLURG-UHFFFAOYSA-N,literal,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,literal,321280-2,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyl-2-oxanyl)oxymethyl]-2-oxanyl]oxy]-1-benzopyran-4-one",literal,10.1016/0031-9422(85)80068-6,literal,CHEMBL32579,,
1,uri,http://www.wikidata.org/entity/Q15512691,uri,http://www.wikidata.org/entity/Q407857,literal,Mayaca fluviatilis,literal,IKGXIBQEEMLURG-NVPNHPEKSA-N,literal,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,literal,321280-2,en,literal,rutin,literal,10.1016/S0031-9422(00)80646-9,literal,CHEMBL226335,literal,153-18-4
2,uri,http://www.wikidata.org/entity/Q15512691,uri,http://www.wikidata.org/entity/Q4811191,literal,Mayaca fluviatilis,literal,JPUKWEQWGBDDQB-QSOFNFLRSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=CC4,literal,321280-2,en,literal,Astragalin,literal,10.1016/S0031-9422(00)80646-9,literal,CHEMBL233930,literal,480-10-4
3,uri,http://www.wikidata.org/entity/Q15512691,uri,http://www.wikidata.org/entity/Q63398496,literal,Mayaca fluviatilis,literal,OVSQVDMCBVZWGM-LVWULRLVSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4,literal,321280-2,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",literal,10.1016/S0031-9422(00)80646-9,,,,
4,uri,http://www.wikidata.org/entity/Q15512691,uri,http://www.wikidata.org/entity/Q104193829,literal,Mayaca fluviatilis,literal,OVSQVDMCBVZWGM-UHFFFAOYSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=C(O)C4,literal,321280-2,en,literal,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",literal,10.1016/0031-9422(85)80068-6,,,,
5,uri,http://www.wikidata.org/entity/Q15512691,uri,http://www.wikidata.org/entity/Q2317288,literal,Mayaca fluviatilis,literal,PEFNSGRTCBGNAN-QNDFHXLGSA-N,literal,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,literal,321280-2,en,literal,luteoloside,literal,10.1016/S0031-9422(00)80646-9,literal,CHEMBL233929,literal,26811-41-6
6,uri,http://www.wikidata.org/entity/Q15512691,uri,http://www.wikidata.org/entity/Q104169766,literal,Mayaca fluviatilis,literal,JPUKWEQWGBDDQB-UHFFFAOYSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=CC4,literal,321280-2,en,literal,trifolin,literal,10.1016/0031-9422(85)80068-6,,,,
7,uri,http://www.wikidata.org/entity/Q15512691,uri,http://www.wikidata.org/entity/Q104392809,literal,Mayaca fluviatilis,literal,KBGKQZVCLWKUDQ-UHFFFAOYSA-N,literal,O=C1C=C(OC2=CC(O)=CC(OC3OC(CO)C(O)C(O)C3O)=C12)C=4C=CC(O)=C(O)C4,literal,321280-2,en,literal,Luteolin-5-o-beta-d-glucopyranoside,literal,10.1016/0031-9422(85)80068-6,,,,
8,uri,http://www.wikidata.org/entity/Q15512691,uri,http://www.wikidata.org/entity/Q72487810,literal,Mayaca fluviatilis,literal,KBGKQZVCLWKUDQ-QNDFHXLGSA-N,literal,O=C1C=C(OC2=CC(O)=CC(OC3OC(CO)C(O)C(O)C3O)=C12)C=4C=CC(O)=C(O)C4,literal,321280-2,en,literal,Luteolin 5-glucoside,literal,10.1016/S0031-9422(00)80646-9,,,literal,20344-46-1
9,uri,http://www.wikidata.org/entity/Q15512691,uri,http://www.wikidata.org/entity/Q6086296,literal,Mayaca fluviatilis,literal,OVSQVDMCBVZWGM-QSOFNFLRSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,literal,321280-2,en,literal,isoquercetin,literal,10.1016/S0031-9422(00)80646-9,literal,CHEMBL250450,literal,482-35-9
10,uri,http://www.wikidata.org/entity/Q15512691,uri,http://www.wikidata.org/entity/Q2317288,literal,Mayaca fluviatilis,literal,PEFNSGRTCBGNAN-QNDFHXLGSA-N,literal,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O,literal,321280-2,en,literal,luteoloside,literal,10.1016/S0031-9422(00)80646-9,literal,CHEMBL233929,literal,5373-11-5
