,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id,ipniID.type,ipniID
0,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q421773,literal,Myrothamnus flabellifolia,literal,HDTRYLNUVZCQOY-LIZSDCNHSA-N,literal,OC[CH]1O[CH](O[CH]2O[CH](CO)[CH](O)[CH](O)[CH]2O)[CH](O)[CH](O)[CH]1O,en,literal,"alpha,alpha-trehalose",literal,10.1016/S0176-1617(11)81257-5,literal,99-20-7,literal,CHEMBL1236395,,
1,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q4027534,literal,Myrothamnus flabellifolia,literal,CZMRCDWAGMRECN-UGDNZRGBSA-N,literal,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,en,literal,sucrose,literal,10.1016/0031-9422(91)85098-K,literal,57-50-1,literal,CHEMBL253582,,
2,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q4027534,literal,Myrothamnus flabellifolia,literal,CZMRCDWAGMRECN-UGDNZRGBSA-N,literal,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,en,literal,sucrose,literal,10.1016/S0176-1617(11)81257-5,literal,57-50-1,literal,CHEMBL253582,,
3,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q82996103,literal,Myrothamnus flabellifolius,literal,JCGHAEBIBSEQAD-UHFFFAOYSA-N,literal,O=C(OC1OC2COC(=O)C=3C=C(O)C(O)=C(O)C3C4=C(O)C(O)=C(O)C=C4C(=O)OC2C(OC(=O)C5=CC(O)=C(O)C(O)=C5)C1OC(=O)C6=CC(O)=C(O)C(O)=C6)C7=CC(O)=C(O)C(O)=C7,en,literal,Tellimagrandin II,literal,10.1016/J.FITOTE.2016.08.013,literal,81571-72-4,,,literal,430734-1
4,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q105241797,literal,Myrothamnus flabellifolia,literal,RNRRGOOQJCADDB-WQECCOASSA-N,literal,O=C(OC1C(O)C(OC(OC2=CC=C(O)C=C2)C1OC(=O)C3=CC(O)=C(O)C(O)=C3)CO)C4=CC(O)=C(O)C(O)=C4,en,literal,galloyl(-2)[galloyl(-3)]Glc(b)-O-Ph(4-OH),literal,10.1002/CHIN.200743185,,,,,,
5,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q4811191,literal,Myrothamnus flabellifolia,literal,JPUKWEQWGBDDQB-QSOFNFLRSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=CC4,en,literal,Astragalin,literal,10.1016/J.FITOTE.2016.08.013,literal,480-10-4,literal,CHEMBL233930,,
6,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q421773,literal,Myrothamnus flabellifolius,literal,HDTRYLNUVZCQOY-LIZSDCNHSA-N,literal,OC[CH]1O[CH](O[CH]2O[CH](CO)[CH](O)[CH](O)[CH]2O)[CH](O)[CH](O)[CH]1O,en,literal,"alpha,alpha-trehalose",literal,10.1016/S0176-1617(11)81257-5,literal,99-20-7,literal,CHEMBL1236395,literal,430734-1
7,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q82996103,literal,Myrothamnus flabellifolia,literal,JCGHAEBIBSEQAD-UHFFFAOYSA-N,literal,O=C(OC1OC2COC(=O)C=3C=C(O)C(O)=C(O)C3C4=C(O)C(O)=C(O)C=C4C(=O)OC2C(OC(=O)C5=CC(O)=C(O)C(O)=C5)C1OC(=O)C6=CC(O)=C(O)C(O)=C6)C7=CC(O)=C(O)C(O)=C7,en,literal,Tellimagrandin II,literal,10.1016/J.FITOTE.2016.08.013,literal,81571-72-4,,,,
8,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q82955648,literal,Myrothamnus flabellifolius,literal,FMQQLXJREAGPHS-OJWSHTDTSA-N,literal,O=C(OCC1OC(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=C(O)C4)C(O)C(O)C1O)C5=CC(O)=C(O)C(O)=C5,en,literal,Quercetin 3-O-(6''-galloyl)-beta-D-galactopyranoside,literal,10.1016/J.FITOTE.2016.08.013,literal,56508-10-2,,,literal,430734-1
9,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q6871627,literal,Myrothamnus flabellifolius,literal,DUBCCGAQYVUYEU-ZUGPOPFOSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,en,literal,querciturone,literal,10.1016/J.FITOTE.2016.08.013,literal,22688-79-5,literal,CHEMBL520546,literal,430734-1
10,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q4027534,literal,Myrothamnus flabellifolius,literal,CZMRCDWAGMRECN-UGDNZRGBSA-N,literal,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,en,literal,sucrose,literal,10.1016/0031-9422(91)85098-K,literal,57-50-1,literal,CHEMBL253582,literal,430734-1
11,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q4027534,literal,Myrothamnus flabellifolius,literal,CZMRCDWAGMRECN-UGDNZRGBSA-N,literal,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,en,literal,sucrose,literal,10.1016/S0176-1617(11)81257-5,literal,57-50-1,literal,CHEMBL253582,literal,430734-1
12,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q83078330,literal,Myrothamnus flabellifolia,literal,STMNAPXMGWBZSF-OAYLZIFXSA-N,literal,O=C(OCC1OC(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=CC4)C(O)C(O)C1O)C5=CC(O)=C(O)C(O)=C5,en,literal,Astragalin 6''-gallate,literal,10.1016/J.FITOTE.2016.08.013,literal,56317-05-6,,,,
13,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q5242815,literal,Myrothamnus flabellifolius,literal,OVSQVDMCBVZWGM-DTGCRPNFSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,en,literal,hyperoside,literal,10.1016/J.FITOTE.2016.08.013,literal,482-36-0,,,literal,430734-1
14,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q105241797,literal,Myrothamnus flabellifolius,literal,RNRRGOOQJCADDB-WQECCOASSA-N,literal,O=C(OC1C(O)C(OC(OC2=CC=C(O)C=C2)C1OC(=O)C3=CC(O)=C(O)C(O)=C3)CO)C4=CC(O)=C(O)C(O)=C4,en,literal,galloyl(-2)[galloyl(-3)]Glc(b)-O-Ph(4-OH),literal,10.1002/CHIN.200743185,,,,,literal,430734-1
15,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q416446,literal,Myrothamnus flabellifolius,literal,BJRNKVDFDLYUGJ-RMPHRYRLSA-N,literal,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,en,literal,arbutin,literal,10.1016/J.FITOTE.2016.08.013,literal,497-76-7,literal,CHEMBL232202,literal,430734-1
16,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q416446,literal,Myrothamnus flabellifolius,literal,BJRNKVDFDLYUGJ-RMPHRYRLSA-N,literal,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,en,literal,arbutin,literal,10.1016/0031-9422(91)85098-K,literal,497-76-7,literal,CHEMBL232202,literal,430734-1
17,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q83078330,literal,Myrothamnus flabellifolius,literal,STMNAPXMGWBZSF-OAYLZIFXSA-N,literal,O=C(OCC1OC(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=CC4)C(O)C(O)C1O)C5=CC(O)=C(O)C(O)=C5,en,literal,Astragalin 6''-gallate,literal,10.1016/J.FITOTE.2016.08.013,literal,56317-05-6,,,literal,430734-1
18,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q4811191,literal,Myrothamnus flabellifolius,literal,JPUKWEQWGBDDQB-QSOFNFLRSA-N,literal,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=CC4,en,literal,Astragalin,literal,10.1016/J.FITOTE.2016.08.013,literal,480-10-4,literal,CHEMBL233930,literal,430734-1
19,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q3334749,literal,Myrothamnus flabellifolia,literal,SOSLMHZOJATCCP-AEIZVZFYSA-N,literal,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O,en,literal,afzelin,literal,10.1016/J.FITOTE.2016.08.013,literal,482-39-3,literal,CHEMBL240528,,
20,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q416446,literal,Myrothamnus flabellifolia,literal,BJRNKVDFDLYUGJ-RMPHRYRLSA-N,literal,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,en,literal,arbutin,literal,10.1016/J.FITOTE.2016.08.013,literal,497-76-7,literal,CHEMBL232202,,
21,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q416446,literal,Myrothamnus flabellifolia,literal,BJRNKVDFDLYUGJ-RMPHRYRLSA-N,literal,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,en,literal,arbutin,literal,10.1016/0031-9422(91)85098-K,literal,497-76-7,literal,CHEMBL232202,,
22,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q82955648,literal,Myrothamnus flabellifolia,literal,FMQQLXJREAGPHS-OJWSHTDTSA-N,literal,O=C(OCC1OC(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=C(O)C4)C(O)C(O)C1O)C5=CC(O)=C(O)C(O)=C5,en,literal,Quercetin 3-O-(6''-galloyl)-beta-D-galactopyranoside,literal,10.1016/J.FITOTE.2016.08.013,literal,56508-10-2,,,,
23,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q7841515,literal,Myrothamnus flabellifolia,literal,JPUKWEQWGBDDQB-DTGCRPNFSA-N,literal,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,en,literal,Trifolin,literal,10.1016/J.FITOTE.2016.08.013,literal,23627-87-4,literal,CHEMBL453290,,
24,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q375837,literal,Myrothamnus flabellifolius,literal,LNTHITQWFMADLM-UHFFFAOYSA-N,literal,C1=C(C=C(C(=C1O)O)O)C(=O)O,en,literal,gallic acid,literal,10.1016/J.FITOTE.2016.08.013,literal,149-91-7,literal,CHEMBL288114,literal,430734-1
25,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q27145499,literal,Myrothamnus flabellifolia,literal,FNTJVYCFNVUBOL-ZUGPOPFOSA-N,literal,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O,en,literal,kaempferol 3-O-glucuronide,literal,10.1016/J.FITOTE.2016.08.013,literal,22688-78-4,,,,
26,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q27145499,literal,Myrothamnus flabellifolius,literal,FNTJVYCFNVUBOL-ZUGPOPFOSA-N,literal,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O,en,literal,kaempferol 3-O-glucuronide,literal,10.1016/J.FITOTE.2016.08.013,literal,22688-78-4,,,literal,430734-1
27,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q4545645,literal,Myrothamnus flabellifolius,literal,QJYNZEYHSMRWBK-NIKIMHBISA-N,literal,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O,en,literal,pentagalloylglucose,literal,10.1016/J.FITOTE.2016.08.013,literal,14937-32-7,literal,CHEMBL382408,literal,430734-1
28,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q7841515,literal,Myrothamnus flabellifolius,literal,JPUKWEQWGBDDQB-DTGCRPNFSA-N,literal,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,en,literal,Trifolin,literal,10.1016/J.FITOTE.2016.08.013,literal,23627-87-4,literal,CHEMBL453290,literal,430734-1
29,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q375837,literal,Myrothamnus flabellifolia,literal,LNTHITQWFMADLM-UHFFFAOYSA-N,literal,C1=C(C=C(C(=C1O)O)O)C(=O)O,en,literal,gallic acid,literal,10.1016/J.FITOTE.2016.08.013,literal,149-91-7,literal,CHEMBL288114,,
30,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q6871627,literal,Myrothamnus flabellifolia,literal,DUBCCGAQYVUYEU-ZUGPOPFOSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,en,literal,querciturone,literal,10.1016/J.FITOTE.2016.08.013,literal,22688-79-5,literal,CHEMBL520546,,
31,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q5242815,literal,Myrothamnus flabellifolia,literal,OVSQVDMCBVZWGM-DTGCRPNFSA-N,literal,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,en,literal,hyperoside,literal,10.1016/J.FITOTE.2016.08.013,literal,482-36-0,,,,
32,uri,http://www.wikidata.org/entity/Q104249646,uri,http://www.wikidata.org/entity/Q4545645,literal,Myrothamnus flabellifolia,literal,QJYNZEYHSMRWBK-NIKIMHBISA-N,literal,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O,en,literal,pentagalloylglucose,literal,10.1016/J.FITOTE.2016.08.013,literal,14937-32-7,literal,CHEMBL382408,,
33,uri,http://www.wikidata.org/entity/Q16756042,uri,http://www.wikidata.org/entity/Q3334749,literal,Myrothamnus flabellifolius,literal,SOSLMHZOJATCCP-AEIZVZFYSA-N,literal,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O,en,literal,afzelin,literal,10.1016/J.FITOTE.2016.08.013,literal,482-39-3,literal,CHEMBL240528,literal,430734-1
